Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA
Gladiator,155,Action; Adventure; Drama,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,64/100,8.5,"529,284","$103,000,000 ","$187,670,866 ","$457,640,427 ",R
Memento,113,Mystery; Thriller,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,80/100,8.6,"496,121","$9,000,000 ","$25,544,867 ","$39,723,096 ",R
Snatch.,102,Crime; Thriller,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,55/100,8.3,"345,354","&#163;6,000,000","$30,093,107 ",,R
Almost Famous,122,Drama; Music,Cameron Crowe,Cameron Crowe,Billy Crudup; Frances McDormand; Kate Hudson,90/100,7.9,"142,738","$60,000,000 ","$32,522,352 ","$47,383,689 ",R
Requiem for a Dream,102,Drama,Darren Aronofsky,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,68/100,8.4,"337,530","$4,500,000 ","$3,609,278 ","$3,754,626 ",R
American Psycho,102,Crime; Drama,Mary Harron,Bret Easton Ellis; Mary Harron,Christian Bale; Justin Theroux; Josh Lucas,64/100,7.6,"206,943","$7,000,000 ","$15,070,285 ","$19,196,279 ",R
X-Men,104,Action; Adventure; Sci-Fi,Bryan Singer,Tom DeSanto; Bryan Singer,Patrick Stewart; Hugh Jackman; Ian McKellen,64/100,7.4,"240,514","$75,000,000 ","$157,299,717 ",,PG-13
Remember the Titans,113,Biography; Drama; Sport,Boaz Yakin,Gregory Allen Howard,Denzel Washington; Will Patton; Wood Harris,48/100,7.6,"100,827","$30,000,000 ","$115,648,585 ",,PG
"O Brother, Where Art Thou?",106,Comedy; Adventure; Crime,Joel Coen,Homer; Ethan Coen,George Clooney; John Turturro; Tim Blake Nelson,69/100,7.8,"148,376","$26,000,000 ","$45,506,619 ",,PG-13
Scary Movie,88,Comedy,Keenen Ivory Wayans,Shawn Wayans; Marlon Wayans,Anna Faris; Jon Abrahams; Marlon Wayans,48/100,6.1,"123,254","$19,000,000 ","$156,997,084 ","$278,019,771 ",R
Cast Away,143,Adventure; Drama,Robert Zemeckis,William Broyles Jr.,Tom Hanks; Helen Hunt; Paul Sanchez,73/100,7.6,"225,263","$90,000,000 ","$233,630,478 ",,PG-13
Gone in Sixty Seconds,118,Action; Crime; Thriller,Dominic Sena,H.B. Halicki; Scott Rosenberg,Nicolas Cage; Angelina Jolie; Giovanni Ribisi,35/100,6.3,"143,801","$90,000,000 ","$101,643,008 ","$231,126,000 ",PG-13
The Patriot,165,Action; Drama; War,Roland Emmerich,Robert Rodat,Mel Gibson; Heath Ledger; Joely Richardson,63/100,7,"136,403","$110,000,000 ","$113,330,342 ",,R
Malna,109,Comedy; Drama; Romance,Giuseppe Tornatore,Giuseppe Tornatore; Luciano Vincenzoni,Monica Bellucci; Giuseppe Sulfaro; Luciano Federico,54/100,7.4,"40,586",,"$3,429,045 ",,R
Bring It On,98,Comedy; Sport,Peyton Reed,Jessica Bendinger,Kirsten Dunst; Eliza Dushku; Jesse Bradford,52/100,5.8,"48,063","$10,000,000 ","$68,379,000 ","$90,449,929 ",PG-13
Pitch Black,109,Action; Sci-Fi; Thriller,David Twohy,Jim Wheat; Ken Wheat,Radha Mitchell; Cole Hauser; Vin Diesel,49/100,7.1,"119,733","$23,000,000 ","$39,240,659 ","$53,187,659 ",R
The Beach,119,Adventure; Drama; Romance,Danny Boyle,John Hodge; Alex Garland,Leonardo DiCaprio; Daniel York; Patcharawan Patarakijjanon,43/100,6.4,"104,867","$50,000,000 ","$39,778,599 ",,R
Unbreakable,106,Drama; Mystery; Sci-Fi,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis; Samuel L. Jackson; Robin Wright,62/100,7.2,"164,850","$75,000,000 ","$94,999,143 ","$249,511,339 ",PG-13
Road Trip,93,Adventure; Comedy,Todd Phillips,Todd Phillips; Scot Armstrong,Breckin Meyer; Seann William Scott; Amy Smart,55/100,6.4,"89,819","$15,600,000 ","$68,525,609 ",,R
How the Grinch Stole Christmas,104,Comedy; Family; Fantasy,Ron Howard,Dr. Seuss; Jeffrey Price,Jim Carrey; Taylor Momsen; Jeffrey Tambor,46/100,5.8,"81,951","$123,000,000 ","$260,031,035 ",,PG
Traffic,147,Crime; Drama; Thriller,Steven Soderbergh,Simon Moore; Stephen Gaghan,Michael Douglas; Benicio Del Toro; Catherine Zeta-Jones,86/100,7.7,"128,544","$48,000,000 ","$124,107,476 ","$83,400,000 ",R
Mission: Impossible II,123,Action; Adventure; Thriller,John Woo,Bruce Geller; Ronald D. Moore,Tom Cruise; Dougray Scott; Thandie Newton,60/100,5.9,"149,373","$125,000,000 ","$215,409,889 ","$546,388,105 ",PG-13
Coyote Ugly,100,Comedy; Drama; Romance,David McNally,Gina Wendkos,Piper Perabo; Adam Garcia; John Goodman,27/100,5.4,"61,395","$45,000,000 ","$60,786,269 ","$40,774,230 ",PG-13
