Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
Gladiator,155,Action; Adventure; Drama,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,64,8.5,531099,1.03E+08,1.88E+08,R,5-May-00
American Psycho,102,Crime; Drama,Christopher Nolan,Bret Easton Ellis; Mary Harron,Christian Bale; Justin Theroux; Josh Lucas,64,7.6,207835,7000000,1.51E+07,R,14-Apr-00
Memento,113,Mystery; Thriller,Guy Ritchie,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,80,8.6,497702,9000000,2.55E+07,R,11-Oct-00
Snatch.,102,Crime; Thriller,Cameron Crowe,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,55,8.3,346619,&#163;6000000,3.01E+07,R,19-Jan-01
X-Men,104,Action; Adventure; Sci-Fi,Darren Aronofsky,Tom DeSanto; Bryan Singer,Patrick Stewart; Hugh Jackman; Ian McKellen,64,7.4,241406,7.50E+07,1.57E+08,PG-13,14-Jul-00
Remember the Titans,113,Biography; Drama; Sport,Mary Harron,Gregory Allen Howard,Denzel Washington; Will Patton; Wood Harris,48,7.6,101212,3.00E+07,1.16E+08,PG,29-Sep-00
Requiem for a Dream,102,Drama,Bryan Singer,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,68,8.4,338557,4500000,3609278,R,27-Oct-00
Almost Famous,122,Drama; Music,Boaz Yakin,Cameron Crowe,Billy Crudup; Frances McDormand; Kate Hudson,90,7.9,143125,6.00E+07,3.25E+07,R,13-Sep-00
Cast Away,143,Adventure; Drama,Joel Coen,William Broyles Jr.,Tom Hanks; Helen Hunt; Paul Sanchez,73,7.6,226274,9.00E+07,2.34E+08,PG-13,22-Dec-00
Gone in Sixty Seconds,118,Action; Crime; Thriller,Keenen Ivory Wayans,H.B. Halicki; Scott Rosenberg,Nicolas Cage; Angelina Jolie; Giovanni Ribisi,35,6.3,144280,9.00E+07,1.02E+08,PG-13,9-Jun-00
Pitch Black,109,Action; Sci-Fi; Thriller,Robert Zemeckis,Jim Wheat; Ken Wheat,Radha Mitchell; Cole Hauser; Vin Diesel,49,7.1,120332,2.30E+07,3.92E+07,R,18-Feb-00
Scary Movie,88,Comedy,Dominic Sena,Shawn Wayans; Marlon Wayans,Anna Faris; Jon Abrahams; Marlon Wayans,48,6.1,123657,1.90E+07,1.57E+08,R,7-Jul-00
The Replacements,118,Comedy; Sport,Roland Emmerich,Vince McKewin,Keanu Reeves; Gene Hackman; Brooke Langton,30,6.3,33528,5.00E+07,4.47E+07,PG-13,11-Aug-00
Unbreakable,106,Drama; Mystery; Sci-Fi,Giuseppe Tornatore,M. Night Shyamalan,Bruce Willis; Samuel L. Jackson; Robin Wright,62,7.2,165393,7.50E+07,9.50E+07,PG-13,22-Nov-00
"O Brother, Where Art Thou?",106,Comedy; Adventure; Crime,Peyton Reed,Homer; Ethan Coen,George Clooney; John Turturro; Tim Blake Nelson,69,7.8,148702,2.60E+07,4.55E+07,PG-13,22-Dec-00
Miss Congeniality,109,Action; Comedy; Crime,David Twohy,Marc Lawrence; Katie Ford,Sandra Bullock; Michael Caine; Benjamin Bratt,43,6,81232,4.50E+07,1.07E+08,PG-13,22-Dec-00
The Patriot,165,Action; Drama; War,Danny Boyle,Robert Rodat,Mel Gibson; Heath Ledger; Joely Richardson,63,7,136792,1.10E+08,1.13E+08,R,28-Jun-00
Coyote Ugly,100,Comedy; Drama; Romance,M. Night Shyamalan,Gina Wendkos,Piper Perabo; Adam Garcia; John Goodman,27,5.4,61615,4.50E+07,6.08E+07,PG-13,4-Aug-00
Battle Royale,114,Adventure; Drama; Thriller,Todd Phillips,Koushun Takami; Kenta Fukasaku,Tatsuya Fujiwara; Aki Maeda; Tar Yamamoto,81,7.8,94248,4500000,,,16-Dec-00
