Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA,Date
Cinderella,74,Animation; Family; Fantasy,4-Mar-50,Bill Peet; Erdman Penner,Ilene Woods; Eleanor Audley; Verna Felton,,7.3,"56,808","$2,900,000 ","$34,101,149 ",,,4-Mar-50
Sunset Blvd.,110,Drama; Film-Noir,25-Aug-50,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,,8.6,"86,750","$1,752,000 ","$2,500,000 ","$5,000,000 ",,25-Aug-50
Winchester '73,92,Western,12-Jul-50,Robert L. Richards; Borden Chase,James Stewart; Shelley Winters; Dan Duryea,,7.7,"8,617",,,,,12-Jul-50
All About Eve,138,Drama,15-Jan-51,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders,,8.4,"52,281",,"$10,177 ",,,15-Jan-51
The Jackie Robinson Story,76,Biography; Drama; Sport,16-May-50,Arthur Mann; Lawrence Taylor,Jackie Robinson; Ruby Dee; Minor Watson,,6.3,563,,,,,16-May-50
Rashomon,88,Crime; Drama,26-Dec-51,Rynosuke Akutagawa; Akira Kurosawa,Toshir Mifune; Machiko Ky; Masayuki Mori,,8.4,"62,709",,,,,26-Dec-51
Harvey,104,Comedy; Drama,13-Oct-50,Mary Chase; Mary Chase,James Stewart; Josephine Hull; Peggy Dow,,8.1,"33,891",,,,,13-Oct-50
Rio Grande,105,Romance; Western,15-Nov-50,James Kevin McGuinness; James Warner Bellah,John Wayne; Maureen O'Hara; Ben Johnson,,7.2,"6,942","$1,214,899 ",,,,15-Nov-50
Colt .45,74,Western,27-May-50,Thomas W. Blackburn,Randolph Scott; Ruth Roman; Zachary Scott,,6,359,,,,,27-May-50
Treasure Island,96,Adventure; Family,19-Jul-50,Lawrence Edward Watkin; Robert Louis Stevenson,Bobby Driscoll; Robert Newton; Basil Sydney,,6.9,"3,049",,,,PG,19-Jul-50
Caged,96,Crime; Drama; Film-Noir,19-May-50,Virginia Kellogg; Virginia Kellogg,Eleanor Parker; Agnes Moorehead; Ellen Corby,,7.7,"1,441",,,,,19-May-50
Father Is a Bachelor,83,Comedy; Family,22-Feb-50,Aleen Leslie; James Edward Grant,William Holden; Coleen Gray; Mary Jane Saunders,,6.6,148,,,,,22-Feb-50
No Way Out,106,Drama; Film-Noir,16-Aug-50,Joseph L. Mankiewicz; Lesser Samuels,Richard Widmark; Linda Darnell; Stephen McNally,,7.4,"1,927",,,,,16-Aug-50
In a Lonely Place,94,Drama; Film-Noir; Mystery,17-May-50,Andrew Solt; Edmund H. North,Humphrey Bogart; Gloria Grahame; Frank Lovejoy,,8,"10,723",,,,,17-May-50
The Asphalt Jungle,112,Crime; Film-Noir; Drama,23-May-50,Ben Maddow; John Huston,Sterling Hayden; Louis Calhern; Jean Hagen,,7.9,"12,596",,,,,23-May-50
Halls of Montezuma,113,Adventure; War; Drama,Dec-50,Michael Blankfort,Richard Widmark; Jack Palance; Reginald Gardiner,,6.6,"1,484",,,,,Dec-50
Cheaper by the Dozen,86,Comedy; Drama; Family,Apr-50,Lamar Trotti; Frank B. Gilbreth Jr.,Clifton Webb; Jeanne Crain; Myrna Loy,,6.9,"2,608",,,,,Apr-50
Panic in the Streets,96,Crime; Film-Noir; Thriller,12-Jun-50,Richard Murphy; Daniel Fuchs,Richard Widmark; Paul Douglas; Barbara Bel Geddes,,7.3,"3,514",,,,,12-Jun-50
Stage Fright,110,Thriller,15-Apr-50,Whitfield Cook; Alma Reville,Jane Wyman; Marlene Dietrich; Michael Wilding,,7,"6,569",,,,,15-Apr-50
The Nevadan,81,Western,11-Jan-50,George W. George; George F. Slavin,Randolph Scott; Dorothy Malone; Forrest Tucker,,6.1,260,,,,,11-Jan-50
D.O.A.,83,Film-Noir; Mystery; Thriller,30-Apr-50,Russell Rouse; Clarence Greene,Edmond O'Brien; Pamela Britton; Luther Adler,,7.4,"5,616",,,,,30-Apr-50
Born Yesterday,103,Comedy; Drama; Romance,28-May-51,Garson Kanin; Albert Mannheimer,Judy Holliday; Broderick Crawford; William Holden,,7.5,"5,311",,"$4,150,000 ","$12,000,000 ",,28-May-51
Father of the Bride,92,Comedy; Romance,16-Jun-50,Frances Goodrich; Albert Hackett,Spencer Tracy; Joan Bennett; Elizabeth Taylor,,7.2,"5,576",,,,,16-Jun-50
Los Olvidados,80,Crime; Drama,24-Mar-52,Luis Alcoriza; Luis Buuel,Estela Inda; Miguel Incln; Alfonso Meja,,8.2,"9,160",,,,,24-Mar-52
Broken Arrow,93,Drama; Romance; Western,Aug-50,Elliott Arnold; Albert Maltz,James Stewart; Jeff Chandler; Debra Paget,,7.2,"3,519",,,,,Aug-50
King Solomon's Mines,103,Adventure; Romance; Action,24-Nov-50,Helen Deutsch; H. Rider Haggard,Deborah Kerr; Stewart Granger; Richard Carlson,,6.9,"3,193",,,,,24-Nov-50
